Time (sec),Accel Position (%),Baro Pressure (kPa),Boost (kPa),Coolant Temp (C),Fuel Press Final (kPa),Fuel Press Raw (kPa),Gear Position (Gear),Intake Temp (C),Man Abs Press (kPa),RPM (RPM),Req Torque (Nm),Target Throttle (%),Throttle Pos (%),Vehicle Speed (kph),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.4.2-17441][2020 USDM WRX STI COBB Custom Features][Reflash: Stage1 ACN91 v400 Boost Select.ptm - Realtime: Stage1 ACN91 v400 Boost Select.ptm]
13.953,0.0,99.97,-57.02,87,0.00,0.00,0,57,42.68,792,0.00,0.00,3.9,0,0.00,0
14.038,0.0,99.97,-57.23,87,0.00,0.00,0,57,42.68,785,0.00,0.00,3.9,0,0.00,0
14.104,0.0,99.97,-57.02,87,0.00,0.00,0,58,42.82,778,0.00,0.00,3.9,0,0.00,0
14.197,0.0,99.97,-57.02,87,0.00,0.00,0,58,42.82,782,0.00,0.00,3.9,0,0.00,0
14.254,0.0,99.97,-56.88,87,0.00,0.00,0,58,42.95,778,0.00,0.00,3.9,0,0.00,0
14.336,0.0,99.97,-57.02,87,0.00,0.00,0,58,42.95,784,0.00,0.00,3.9,0,0.00,0
14.415,0.0,99.97,-56.88,87,0.00,0.00,0,58,42.95,779,0.00,0.00,3.9,0,0.00,0
14.480,0.0,99.97,-57.02,87,0.00,0.00,0,58,42.82,775,0.00,0.00,3.9,0,0.00,0
14.559,0.0,99.97,-56.81,87,0.00,0.00,0,58,43.09,770,0.00,0.00,3.9,0,0.00,0
14.637,0.0,99.97,-56.81,87,0.00,0.00,0,58,43.09,770,0.00,0.00,3.9,0,0.00,0
14.721,0.0,99.97,-56.61,87,0.00,0.00,0,58,43.09,770,0.00,0.00,3.9,0,0.00,0
14.789,0.0,99.97,-56.74,87,0.00,0.00,0,58,43.09,758,0.00,0.00,3.9,0,0.00,0
14.865,0.0,99.97,-56.54,87,0.00,0.00,0,58,43.44,759,0.00,0.00,3.9,0,0.00,0
14.934,0.0,99.97,-56.40,87,0.00,0.00,0,58,43.44,762,0.00,0.00,3.9,0,0.00,0
15.024,0.0,99.97,-56.40,87,0.00,0.00,0,58,43.44,764,0.00,0.00,3.9,0,0.00,0
15.080,0.0,99.97,-56.40,87,0.00,0.00,0,58,43.44,765,0.00,0.00,3.9,0,0.00,0
15.170,0.0,99.97,-56.40,87,0.00,0.00,0,58,43.44,764,0.00,0.00,3.9,0,0.00,0
15.236,0.0,99.97,-56.40,87,0.00,0.00,0,58,43.23,774,0.00,0.00,3.9,0,0.00,0
15.309,0.0,99.97,-56.61,87,0.00,0.00,0,58,43.23,774,0.00,0.00,3.9,0,0.00,0
15.387,0.0,99.97,-56.61,87,0.00,0.00,0,58,43.23,777,0.00,0.00,3.9,0,0.00,0
15.461,0.0,99.97,-56.74,87,0.00,0.00,0,58,43.09,778,0.00,0.00,3.9,0,0.00,0
15.538,0.0,99.97,-56.81,87,0.00,0.00,0,58,43.23,777,0.00,0.00,3.9,0,0.00,0
15.605,0.0,99.97,-56.95,87,0.00,0.00,0,58,42.82,772,0.00,0.00,3.9,0,0.00,0
15.698,0.0,99.97,-56.88,87,0.00,0.00,0,58,42.95,772,0.00,0.00,3.9,0,0.00,0
15.762,0.0,99.97,-56.95,87,0.00,0.00,0,58,42.95,765,0.00,0.00,3.9,0,0.00,0
15.842,0.0,99.97,-56.81,87,0.00,0.00,0,58,43.09,768,0.00,0.00,3.9,0,0.00,0
15.910,0.0,99.97,-56.61,87,0.00,0.00,0,58,43.09,770,0.00,0.00,3.9,0,0.00,0
15.991,0.0,99.97,-56.54,87,0.00,0.00,0,58,43.30,773,0.00,0.00,3.9,0,0.00,0
16.057,0.0,99.97,-56.74,87,0.00,0.00,0,58,43.23,774,0.00,0.00,3.9,0,0.00,0
16.138,0.0,99.97,-56.47,87,0.00,0.00,0,58,43.30,776,0.00,0.00,3.9,0,0.00,0
